SubjectID,Condition,Pre_Prejudice,Post_Prejudice,Pre_Contact,Post_Contact,Group_Identification,Intergroup_Anxiety,Cooperation,Life_Satisfaction
C000,Control,1.74,4.23,5.14,3.36,6.04,3.87,2.66,1.76
C001,Control,6.19,6.62,1.86,2.79,4.53,4.63,2.18,5.12
C002,Control,5.11,1.18,3.53,4.2,3.27,4.61,5.74,4.13
C003,Control,6.71,4.34,2.98,2.75,4.42,3.78,1.0,3.6
C004,Control,7.0,3.55,1.72,3.07,5.17,4.57,2.83,4.09
C005,Control,4.47,3.09,2.91,3.87,5.77,1.38,3.38,2.93
C006,Control,7.0,5.49,4.08,3.03,4.9,6.24,4.46,4.14
C007,Control,4.7,2.44,3.39,2.85,5.83,5.29,4.85,4.4
C008,Control,3.43,1.78,2.01,4.6,7.0,3.64,1.0,3.22
C009,Control,6.71,4.11,3.71,3.2,6.07,6.73,3.88,4.18
C010,Control,7.0,5.52,2.05,3.82,5.67,3.54,2.22,3.64
C011,Control,4.2,4.6,1.99,3.46,5.47,4.52,2.91,3.79
C012,Control,7.0,5.1,4.52,1.8,5.88,2.9,2.17,3.51
C013,Control,4.29,4.3,4.46,3.05,5.34,3.31,4.29,4.43
C014,Control,4.54,2.62,3.26,3.69,3.53,3.56,3.81,2.11
C015,Control,4.03,5.57,4.33,5.62,7.0,4.22,2.27,5.11
C016,Control,4.18,3.86,2.63,2.48,5.62,3.1,3.13,5.91
C017,Control,5.18,7.0,4.44,3.71,4.47,5.56,2.63,4.0
C018,Control,5.5,4.99,2.14,1.17,6.44,4.86,1.0,3.1
C019,Control,5.27,5.66,1.18,2.89,5.81,3.47,3.38,3.41
C020,Control,6.36,3.8,1.63,3.03,2.85,1.0,4.63,2.82
C021,Control,3.0,3.78,1.97,2.83,3.36,4.75,3.97,2.47
C022,Control,4.07,4.22,2.8,4.3,6.71,7.0,1.0,2.89
C023,Control,7.0,2.3,5.15,3.18,5.28,2.08,2.32,6.1
C024,Control,4.93,4.33,3.49,2.77,5.52,2.73,2.88,3.23
C025,Control,2.29,5.72,1.52,2.8,6.39,1.75,3.91,3.64
C026,Control,3.55,7.0,3.0,2.32,3.83,5.32,2.08,4.91
C027,Control,5.0,6.67,1.75,1.92,4.58,3.7,2.47,7.0
C028,Control,7.0,5.45,3.5,2.72,3.43,3.73,4.16,5.57
C029,Control,6.49,2.74,2.65,1.24,6.75,3.38,2.93,4.58
C030,Control,7.0,5.4,2.71,1.51,7.0,3.73,5.49,5.33
C031,Control,4.31,2.91,3.33,2.26,5.06,5.57,1.0,4.32
C032,Control,6.14,6.21,1.36,3.5,6.81,4.51,2.83,5.37
C033,Control,3.96,2.71,2.76,3.64,6.56,4.8,4.25,5.25
C034,Control,4.49,4.78,4.54,1.55,5.64,2.92,4.65,3.98
C035,Control,5.01,7.0,1.71,3.26,4.73,4.8,5.89,3.27
C036,Control,3.2,3.79,2.72,3.08,5.17,6.7,5.44,5.56
C037,Control,7.0,6.24,4.33,3.97,5.96,4.59,2.4,2.5
C038,Control,4.8,5.85,3.09,1.72,4.75,3.67,2.91,4.59
C039,Control,6.06,4.25,4.18,4.36,5.48,5.0,4.48,2.68
