ResponseID,Age,Gender,Education,SI_1,SI_2,SI_3,SI_4,SI_5,IC_1,IC_2,IC_3,IC_4,Prejudice_1,Prejudice_2,Prejudice_3,Wellbeing_1,Wellbeing_2,Wellbeing_3
1,56,Other,Bachelor,3,4,3,2,7,5,1,7,3,5,4,5,3,3,3
2,69,Male,HS,2,1,6,4,1,2,6,2,2,6,6,5,1,1,1
3,46,Male,Master,2,3,2,1,7,1,1,5,1,6,6,4,1,1,2
4,32,Male,Master,3,3,6,7,2,3,7,1,6,1,2,2,3,4,2
5,60,Other,PhD,7,3,4,7,5,7,7,7,5,2,1,1,4,5,5
6,25,Female,Bachelor,6,5,1,4,6,7,1,5,5,3,4,4,4,4,3
7,38,Female,PhD,3,2,5,2,2,2,2,6,1,6,6,5,1,1,2
8,56,Male,Master,5,5,2,7,7,2,4,5,6,5,3,3,3,4,3
9,36,Female,HS,5,2,1,5,6,3,2,7,1,6,5,3,2,2,1
10,40,Female,Bachelor,2,3,2,1,7,5,4,6,2,3,4,3,2,2,2
11,28,Other,HS,4,3,7,1,5,6,6,7,3,1,2,1,4,5,4
12,28,Other,HS,6,5,6,7,7,7,4,2,7,4,4,3,3,4,4
13,41,Other,Bachelor,2,5,3,3,1,7,6,1,5,3,3,3,5,4,4
14,70,Other,PhD,4,2,5,7,3,2,7,7,2,2,2,3,3,3,3
15,53,Male,HS,4,4,6,3,2,4,3,7,3,4,3,5,2,2,2
16,57,Other,Master,5,2,1,7,3,2,7,2,2,4,3,5,1,1,1
17,41,Female,HS,7,5,7,5,7,6,7,3,6,2,2,1,4,4,5
18,20,Male,Bachelor,1,6,7,6,5,5,3,2,5,4,4,3,2,3,1
19,39,Female,Bachelor,7,5,7,1,2,5,4,6,7,2,2,3,4,3,4
20,70,Female,Bachelor,1,6,1,7,7,4,4,2,1,4,5,6,2,2,2
21,19,Female,PhD,3,1,1,5,6,7,6,2,1,5,4,2,2,4,3
22,41,Other,HS,5,5,1,3,4,2,2,1,3,6,4,5,1,1,1
23,61,Other,PhD,4,1,1,3,7,5,6,2,7,3,2,3,3,3,4
24,47,Male,PhD,6,4,7,1,3,6,2,7,4,2,4,3,3,3,3
25,55,Male,Bachelor,1,2,7,4,2,3,7,1,6,4,3,5,2,3,2
26,19,Other,Bachelor,7,6,2,7,3,1,3,4,3,5,5,5,1,1,2
27,38,Female,PhD,4,2,6,2,2,1,7,3,4,4,4,2,3,2,2
28,50,Male,HS,1,1,5,3,7,1,1,1,2,6,7,7,1,1,1
29,29,Other,Master,1,6,3,6,1,7,4,6,6,3,5,4,4,3,4
30,39,Other,PhD,1,2,7,6,6,2,2,4,2,4,3,4,2,2,2
31,61,Other,HS,6,5,3,3,7,4,6,1,7,1,2,2,3,3,3
32,42,Female,Bachelor,5,3,6,4,3,5,3,1,5,5,4,4,2,1,1
33,66,Other,Bachelor,6,1,6,4,4,3,2,3,6,6,4,5,2,3,2
34,44,Other,HS,2,2,3,5,4,6,6,7,4,2,3,2,5,4,4
35,59,Other,Master,4,1,7,6,5,3,4,6,5,1,1,2,4,4,5
36,45,Other,Bachelor,5,7,3,5,2,6,7,5,1,4,4,3,1,1,2
37,33,Male,Bachelor,5,1,2,6,3,7,4,5,4,3,2,2,4,5,4
38,32,Male,Bachelor,5,6,4,7,5,2,5,1,3,5,4,5,1,1,1
39,64,Other,HS,7,7,7,7,3,1,1,2,1,6,5,6,1,1,1
40,68,Female,PhD,5,6,7,2,2,2,5,6,1,5,4,5,2,2,1
41,61,Male,Bachelor,6,3,5,7,7,7,3,4,3,3,3,4,2,1,1
42,72,Other,PhD,5,7,1,2,7,4,2,2,6,4,4,3,1,1,3
43,69,Male,Master,3,5,4,7,4,4,3,2,1,3,5,4,2,2,2
44,74,Male,Bachelor,4,1,6,1,7,7,7,6,7,1,1,1,4,4,5
45,20,Female,Bachelor,5,2,7,7,7,6,6,7,4,3,2,3,5,4,4
46,54,Other,Master,4,4,3,5,1,5,4,1,5,5,4,4,4,2,2
47,68,Other,Bachelor,3,1,4,3,4,5,5,1,1,3,5,3,1,1,3
48,24,Female,PhD,3,1,5,5,5,6,5,1,4,2,5,4,2,1,3
49,38,Female,HS,4,3,6,3,6,4,7,1,2,4,4,4,1,2,2
50,26,Other,PhD,1,5,1,4,1,4,5,5,4,4,4,3,3,3,2
51,56,Other,HS,2,4,1,5,5,4,7,1,5,3,5,4,3,1,2
52,35,Female,HS,7,7,5,4,2,2,3,5,4,3,2,5,1,3,1
53,21,Male,PhD,1,7,5,2,1,4,4,5,3,3,3,3,1,2,1
54,42,Male,PhD,1,7,3,2,5,3,2,7,5,4,5,4,2,3,3
55,31,Female,PhD,6,6,7,1,2,1,6,1,6,3,4,4,2,1,2
56,67,Male,PhD,7,6,1,7,4,4,2,3,2,5,3,5,1,1,1
57,26,Female,Master,7,2,6,5,6,6,3,4,3,3,4,5,2,3,3
58,43,Male,Bachelor,1,4,4,4,2,1,6,2,6,5,5,4,2,2,2
59,70,Male,HS,5,7,6,3,7,2,5,5,4,3,3,2,3,3,3
60,19,Other,PhD,6,6,2,2,3,6,1,6,5,2,3,2,3,4,3
61,37,Other,PhD,6,2,2,7,2,1,3,6,2,6,6,5,2,1,2
62,45,Male,PhD,3,5,5,2,2,6,3,4,3,3,3,3,3,4,4
63,64,Male,Master,7,2,3,3,6,2,4,6,6,4,3,3,3,2,3
64,24,Other,PhD,1,6,2,7,3,3,2,3,6,4,5,5,1,3,2
65,61,Other,PhD,3,3,1,7,7,2,3,6,2,5,5,5,3,2,2
66,25,Other,PhD,4,3,6,4,5,2,3,2,7,5,4,4,1,3,2
67,64,Female,Bachelor,2,7,6,4,5,6,5,2,4,6,4,3,3,4,3
68,52,Male,Master,6,3,5,5,2,7,5,5,2,2,1,2,3,3,3
69,31,Other,PhD,4,7,7,5,3,5,6,1,6,3,3,2,3,3,2
70,34,Male,HS,4,7,7,6,3,4,7,7,1,3,3,3,4,4,4
71,53,Female,HS,5,6,4,6,7,4,7,3,3,4,3,4,1,2,2
72,67,Female,HS,2,3,5,1,6,3,1,5,2,3,5,5,2,2,1
73,57,Other,Master,4,7,4,2,4,3,7,3,7,2,2,2,4,4,4
74,21,Female,Master,4,4,7,5,5,4,4,1,6,4,3,3,2,2,2
75,19,Male,HS,2,5,5,4,6,5,1,6,4,4,4,5,3,2,2
76,23,Other,PhD,2,2,5,3,1,4,6,6,6,1,2,3,3,3,3
77,71,Male,Master,4,2,5,4,5,7,5,7,4,1,2,1,4,4,4
78,59,Male,HS,2,6,7,2,6,5,7,1,2,2,4,3,2,2,2
79,21,Female,HS,4,3,4,6,5,3,2,5,4,3,1,3,3,2,3
80,71,Female,PhD,4,3,4,4,4,1,5,7,5,3,3,4,3,3,2
81,46,Female,Bachelor,5,7,5,1,1,6,4,1,5,3,4,4,4,3,2
82,35,Female,Master,1,1,2,2,4,7,5,4,5,2,3,3,5,4,4
83,43,Female,PhD,4,7,3,6,7,7,4,2,7,3,2,3,4,4,5
84,61,Other,HS,3,5,7,3,1,3,4,7,7,2,2,1,4,4,3
85,51,Male,HS,6,4,3,6,2,3,4,7,1,5,5,5,3,2,2
86,27,Male,PhD,7,2,3,7,6,2,6,5,7,2,2,1,4,5,4
87,53,Male,Master,1,7,4,1,1,7,4,3,2,5,4,4,3,3,3
88,31,Male,Bachelor,1,1,4,2,7,2,4,4,6,3,4,3,3,3,2
89,48,Female,Bachelor,1,1,2,3,7,2,2,5,6,5,4,3,3,3,2
90,65,Male,HS,5,7,3,1,4,6,1,1,1,4,5,6,2,1,1
91,32,Other,Master,4,6,3,6,5,2,3,1,7,5,5,5,2,2,1
92,25,Other,Bachelor,5,2,5,1,1,5,1,1,4,4,4,5,2,2,2
93,31,Male,Master,4,6,4,2,6,4,4,1,1,4,5,5,2,2,2
94,40,Male,Master,5,4,3,5,1,1,2,3,4,5,4,5,1,1,1
95,74,Other,HS,5,1,6,1,3,3,5,4,4,4,4,3,3,3,3
96,57,Other,Bachelor,6,1,2,7,5,5,2,6,3,5,4,5,2,2,2
97,38,Female,PhD,3,5,6,1,6,1,4,2,6,2,2,4,2,2,2
